ACCOUNT,SERVICE,VISIT
500026,CKING,1
500026,SVG,2
500026,ATM,3
500026,ATM,4
500075,CKING,1
500075,MMDA,2
500075,SVG,3
500075,ATM,4
500075,TRUST,5
500075,TRUST,6
500129,CKING,1
500129,SVG,2
500129,IRA,3
500129,ATM,4
500129,ATM,5
500256,CKING,1
500256,SVG,2
500256,CKCRD,3
500256,CKCRD,4
500341,CKING,1
500341,SVG,2
500341,CKCRD,3
500341,CKCRD,4
500350,CKING,1
500350,CD,2
500350,CD,3
500458,SVG,1
500458,ATM,2
500458,ATM,3
500595,CKING,1
500595,SVG,2
500595,CD,3
500595,TRUST,4
500595,TRUST,5
500743,CKING,1
500743,SVG,2
500743,CCRD,3
500743,HMEQLC,4
500743,MTG,5
500743,CKCRD,6
500743,CKCRD,7
500744,CKING,1
500744,CD,2
500744,CD,3
500823,CKING,1
500823,SVG,2
500823,CCRD,3
500823,PLOAN,4
500823,PLOAN,5
500899,CKING,1
500899,SVG,2
500899,CD,3
500899,CD,4
501244,CKING,1
501244,ATM,2
501244,ATM,3
501260,CKING,1
501260,SVG,2
501260,CD,3
501260,IRA,4
501260,ATM,5
501260,CCRD,6
501260,TRUST,7
501260,TRUST,8
501264,CKING,1
501264,SVG,2
501264,SVG,3
501272,CKING,1
501272,SVG,2
501272,CD,3
501272,ATM,4
501272,ATM,5
501420,CKING,1
501420,SVG,2
501420,SVG,3
501479,CKING,1
501479,SVG,2
501479,SVG,3
501533,CKING,1
501533,CCRD,2
501533,CCRD,3
501551,CKING,1
501551,SVG,2
501551,CD,3
501551,ATM,4
501551,AUTO,5
501551,AUTO,6
501598,CKING,1
501598,CKING,2
501601,CKING,1
501601,MMDA,2
501601,SVG,3
501601,CD,4
501601,ATM,5
501601,ATM,6
501648,CKING,1
501648,CKING,2
501649,CKING,1
501649,SVG,2
501649,ATM,3
501649,ATM,4
501702,CKING,1
501702,SVG,2
501702,CD,3
501702,CD,4
501760,SVG,1
501760,SVG,2
501774,CKING,1
501774,MMDA,2
501774,MMDA,3
501817,CKING,1
501817,SVG,2
501817,CD,3
501817,ATM,4
501817,ATM,5
501823,CKING,1
501823,SVG,2
501823,ATM,3
501823,HMEQLC,4
501823,PLOAN,5
501823,AUTO,6
501823,AUTO,7
501830,CKING,1
501830,MMDA,2
501830,CD,3
501830,IRA,4
501830,ATM,5
501830,ATM,6
501909,CKING,1
501909,SVG,2
501909,ATM,3
501909,CCRD,4
501909,CCRD,5
502039,SVG,1
502039,CD,2
502039,ATM,3
502039,ATM,4
502074,CKING,1
502074,MMDA,2
502074,ATM,3
502074,ATM,4
502114,CKING,1
502114,SVG,2
502114,CD,3
502114,ATM,4
502114,CCRD,5
502114,CCRD,6
502127,CKING,1
502127,MMDA,2
502127,MMDA,3
502343,CKING,1
502343,SVG,2
502343,ATM,3
502343,ATM,4
502479,CKING,1
502479,SVG,2
502479,ATM,3
502479,ATM,4
502646,CKING,1
502646,MMDA,2
502646,ATM,3
502646,ATM,4
502662,CKING,1
502662,AUTO,2
502662,AUTO,3
502698,CKING,1
502698,MMDA,2
502698,MMDA,3
502738,CKING,1
502738,CD,2
502738,CD,3
502752,CKING,1
502752,SVG,2
502752,ATM,3
502752,ATM,4
502907,CD,1
502907,CD,2
503022,AUTO,1
503022,AUTO,2
503099,CKING,1
503099,SVG,2
503099,SVG,3
503111,CKING,1
503111,SVG,2
503111,CD,3
503111,ATM,4
503111,ATM,5
503148,CKING,1
503148,SVG,2
503148,ATM,3
503148,ATM,4
503164,CKING,1
503164,SVG,2
503164,CCRD,3
503164,MTG,4
503164,CKCRD,5
503164,CKCRD,6
503272,CKING,1
503272,HMEQLC,2
503272,HMEQLC,3
503361,CKING,1
503361,SVG,2
503361,ATM,3
503361,MTG,4
503361,MTG,5
503471,CKING,1
503471,SVG,2
503471,CD,3
503471,CD,4
503515,CKING,1
503515,SVG,2
503515,CD,3
503515,CD,4
503634,CKING,1
503634,MMDA,2
503634,MMDA,3
503806,CKING,1
503806,SVG,2
503806,ATM,3
503806,ATM,4
503873,CKING,1
503873,SVG,2
503873,IRA,3
503873,IRA,4
503877,CKING,1
503877,SVG,2
503877,IRA,3
503877,CKCRD,4
503877,CKCRD,5
503901,CKING,1
503901,SVG,2
503901,HMEQLC,3
503901,MTG,4
503901,MTG,5
503931,CKING,1
503931,ATM,2
503931,ATM,3
504080,CKING,1
504080,MMDA,2
504080,MMDA,3
504158,CKING,1
504158,ATM,2
504158,ATM,3
504182,SVG,1
504182,SVG,2
504334,CKING,1
504334,CCRD,2
504334,CKCRD,3
504334,CKCRD,4
504339,CKING,1
504339,MMDA,2
504339,SVG,3
504339,ATM,4
504339,HMEQLC,5
504339,MTG,6
504339,MTG,7
504415,CKING,1
504415,SVG,2
504415,ATM,3
504415,ATM,4
504422,CKING,1
504422,HMEQLC,2
504422,HMEQLC,3
504434,CKING,1
504434,SVG,2
504434,SVG,3
504446,CKING,1
504446,SVG,2
504446,CKCRD,3
504446,CKCRD,4
504499,CKING,1
504499,SVG,2
504499,SVG,3
504752,CKING,1
504752,MMDA,2
504752,SVG,3
504752,CD,4
504752,ATM,5
504752,HMEQLC,6
504752,MTG,7
504752,TRUST,8
504752,AUTO,9
504752,AUTO,10
504856,CKING,1
504856,SVG,2
504856,ATM,3
504856,HMEQLC,4
504856,AUTO,5
504856,AUTO,6
504988,CKING,1
504988,HMEQLC,2
504988,CKCRD,3
504988,CKCRD,4
505014,SVG,1
505014,SVG,2
505070,CKING,1
505070,ATM,2
505070,ATM,3
505082,CKING,1
505082,SVG,2
505082,CD,3
505082,CD,4
505197,CKING,1
505197,SVG,2
505197,ATM,3
505197,ATM,4
505277,CKING,1
505277,SVG,2
505277,CD,3
505277,CD,4
505414,CKING,1
505414,CKING,2
505419,CKING,1
505419,MMDA,2
505419,SVG,3
505419,SVG,4
505442,CKING,1
505442,SVG,2
505442,AUTO,3
505442,CKCRD,4
505442,CKCRD,5
505546,CKING,1
505546,SVG,2
505546,CCRD,3
505546,HMEQLC,4
505546,CKCRD,5
505546,CKCRD,6
505627,CKING,1
