ID,LocX,LocY,RegDens,RegPop,MedHHInc,MeanHHSz
00601,-66.749472,18.180103,70,19143,9888,3.239999994635582
00602,-67.180247,18.363285,83,42042,11384,3.0999999940395355
00603,-67.134224,18.448619,86,55592,10748,2.839999996125698
00604,-67.136995,18.498987,83,3844,31199,3
00606,-66.958807,18.182151,65,6449,9243,3.1999999955296516
00610,-67.136046,18.288319,79,28005,12629,3.0099999979138374
00612,-66.698797,18.449732,81,72865,13000,2.839999996125698
00616,-66.676692,18.426748,78,10525,10476,2.969999998807907
00617,-66.555758,18.455499,81,23223,11511,2.969999998807907
00622,-67.167456,18.003125,69,8284,13634,2.639999993145466
00623,-67.152226,18.08643,80,38627,13565,2.75
00624,-66.726029,18.055399,77,26719,12194,3.469999998807907
00627,-66.856443,18.435246,79,35244,13168,3.0699999928474426
00631,-66.851745,18.186739,68,2169,8345,3.0499999970197678
00637,-66.948643,18.073078,78,25935,12485,2.9099999964237213
00638,-66.498354,18.308139,70,19648,10986,3.2599999979138374
00641,-66.705193,18.268896,71,35095,9901,3.139999993145466
00646,-66.276894,18.442798,84,34114,16378,3.1099999994039536
00647,-66.939932,17.964529,73,5352,9607,2.869999997317791
00650,-66.567732,18.363331,77,12207,11544,3.1099999994039536
00652,-66.612173,18.457453,75,2903,12097,2.839999996125698
00653,-66.900977,17.992112,78,16536,9770,3.0399999991059303
00656,-66.791684,18.038866,76,23072,11361,3.189999997615814
00659,-66.800394,18.432956,80,38925,12378,3.059999994933605
00660,-67.120857,18.139108,84,16614,16745,2.8199999928474426
00662,-67.019737,18.478855,80,42178,11753,2.939999997615814
00664,-66.592437,18.212565,73,17318,11220,3.3499999940395355
00667,-67.042267,18.017819,74,26637,11426,2.9099999964237213
00669,-66.875037,18.288418,77,32246,9758,3.119999997317791
00670,-66.976041,18.241343,68,11174,9556,3.0799999982118607
00674,-66.486974,18.426137,81,45874,12820,2.969999998807907
00676,-67.084245,18.37956,79,39697,11271,3.1099999994039536
00677,-67.236754,18.336121,81,14767,11460,2.8599999994039536
00678,-66.932756,18.442334,81,27271,12005,3.0699999928474426
00680,-67.12655,18.205232,84,75090,12042,2.769999995827675
00682,-67.154286,18.208402,90,25138,11121,2.839999996125698
00683,-67.045245,18.092807,78,35165,13036,2.8599999994039536
00685,-66.981041,18.332595,76,44649,11014,2.939999997615814
00687,-66.415286,18.31708,79,29965,12090,3.399999998509884
00688,-66.613484,18.40415,75,13501,11729,3.0099999979138374
00690,-67.09867,18.495369,85,5249,12629,2.889999993145466
00692,-66.331864,18.419666,81,35223,13691,3.1599999964237213
00693,-66.392106,18.440667,83,64054,13857,3.119999997317791
00698,-66.855879,18.06547,78,46384,11924,3.0699999928474426
006HH,-66.834528,18.473441,,0,0,0
006XX,-67.88803,18.102537,,0,0,0
00703,-66.128274,18.246205,80,28752,12463,3.119999997317791
00704,-66.22291,17.970112,85,7593,11340,3.059999994933605
00705,-66.265419,18.12942,80,26493,12725,3.1299999952316284
00707,-65.910184,18.014505,77,12741,11638,3.189999997615814
00714,-66.055525,17.987288,83,19117,11484,3.089999996125698
00715,-66.558687,18.003492,63,2268,10556,2.7799999937415123
00716,-66.599655,17.999066,89,38859,15610,3.059999994933605
00717,-66.613746,18.004303,99,23083,11697,2.5499999970197678
00718,-65.742938,18.22048,74,23753,11461,2.969999998807907
00719,-66.250988,18.294571,82,29921,12472,3.3199999928474426
00720,-66.422657,18.217827,73,23844,9945,3.3499999940395355
00723,-66.013105,18.023196,74,20152,12021,3.059999994933605
00725,-66.04502,18.233927,88,144024,16558,2.969999998807907
00728,-66.652183,18.013353,89,52069,14351,3.2599999979138374
00729,-65.890899,18.35615,84,50982,14131,3.239999994635582
00730,-66.617275,18.022626,98,38828,10992,2.889999993145466
00731,-66.61192,18.077329,74,21351,13246,3.339999996125698
00735,-65.659878,18.258444,77,18004,16440,2.9199999943375587
00736,-66.153773,18.112895,80,49673,13511,3
00738,-65.661163,18.32265,83,38173,15859,2.8599999994039536
00739,-66.162715,18.16984,82,40450,15571,3.2299999967217445
00740,-65.627617,18.331711,93,2539,9748,2.809999994933605
00741,-65.757658,18.160755,81,5819,13195,3.059999994933605
00745,-65.82277,18.366213,80,52362,15006,3.139999993145466
00751,-66.265346,17.993803,72,23895,11298,3.0399999991059303
00754,-65.968314,18.15633,79,40997,12226,3.0999999940395355
00757,-66.394573,17.98631,77,21665,11895,3.189999997615814
00765,-65.456036,18.125664,65,9106,9331,2.739999994635582
00766,-66.482086,18.126023,79,27913,11728,3.5499999970197678
00767,-65.897039,18.072752,78,39246,12292,3.189999997615814
00769,-66.361103,18.092813,75,37597,12064,3.189999997615814
00771,-65.870889,18.18744,81,34485,14622,3.0799999982118607
00772,-65.876055,18.427674,83,24890,8962,3.389999993145466
00773,-65.721335,18.361344,79,19817,13631,3
00775,-65.292575,18.311149,28,1868,17008,2.619999997317791
00777,-65.913162,18.224088,83,36452,13072,3.019999995827675
00778,-65.977913,18.258628,83,36743,16451,3.1099999994039536
00780,-66.559397,18.068538,76,10017,12092,3.369999997317791
00782,-66.2267,18.223348,78,18897,11027,3.149999998509884
00783,-66.323059,18.304874,80,36867,11786,3.2599999979138374
00784,-66.127791,17.984137,78,43926,12180,3.0099999979138374
00791,-65.822693,18.147257,83,53216,14464,3.0299999937415123
00794,-66.310581,18.204294,80,28909,11322,3.309999994933605
00795,-66.502899,18.036253,79,50531,12892,3.339999996125698
007HH,-66.014594,17.981672,,0,0,0
007XX,-66.555461,17.962234,,0,0,0
00901,-66.107862,18.465426,98,7418,9751,2.0699999928474426
00906,-66.100792,18.46454,100,545,7361,2.7899999991059303
00907,-66.077987,18.451131,99,22173,21485,2.019999995827675
00909,-66.067647,18.442282,99,7671,13840,2.3599999994039536
00911,-66.057706,18.45009,100,9345,24987,1.969999998807907
00912,-66.059286,18.445946,100,7992,14506,2.3799999952316284
00913,-66.042563,18.450907,100,10893,6450,2.809999994933605
00915,-66.048884,18.436995,100,35993,10038,2.619999997317791
00917,-66.0513,18.422263,100,26165,12068,2.469999998807907
00918,-66.06494,18.417668,98,18144,27639,2.1799999997019768
00920,-66.090693,18.41242,95,19424,20759,2.439999997615814
00921,-66.086336,18.394019,99,45230,15923,2.6699999943375587
00923,-66.038062,18.410681,100,31410,12594,2.619999997317791
00924,-66.011943,18.401917,99,62205,14820,2.8799999952316284
00925,-66.050288,18.400006,99,8101,11970,2.399999998509884
00926,-66.056208,18.361363,95,102545,26306,2.899999998509884
00927,-66.068678,18.39184,98,16560,30625,2.5
00934,-66.121987,18.413511,77,722,37063,2.769999995827675
00949,-66.204207,18.433173,93,81694,18968,3.0699999928474426
00952,-66.180146,18.429218,98,12028,14398,3.139999993145466
00953,-66.234147,18.36802,88,62470,20313,3.269999995827675
